brand,price,number_of_seat,start_time,start_day,end_day,end_time,trip_time,take_place,destination,location,id
Quang Hanh,400000,22 chỗ ngồi,19:45,20-05-2024,21-05-2024,04:25,8 giờ 40 phút,"Bến xe An Sương Quốc Lộ 22, Xã Bà Điểm","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,53
Quang Hanh,400000,22 chỗ ngồi,19:45,20-05-2024,21-05-2024,04:55,9 giờ 10 phút,"Bến xe An Sương Quốc Lộ 22, Xã Bà Điểm",Bến xe phía Nam Nha Trang mới 1 Đường 23 tháng10,Nha Trang,54
Cuc Tung,450000,21 chỗ ngồi,20:00,20-05-2024,21-05-2024,04:00,8 giờ ,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang,55
Cuc Tung,450000,21 chỗ ngồi,20:00,20-05-2024,21-05-2024,04:20,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang,56
Huynh Gia,280000,38 chỗ ngồi,20:00,20-05-2024,21-05-2024,04:40,8 giờ 40 phút,"Cổng Bến xe Miền Tây 395 Kinh Đ. Vương, An Lạc, Bình Tân, Thành phố Hồ Chí Minh 700000, Vietnam",Ngã 3 Trong Quốc lộ 1A,Nha Trang,57
Huynh Gia,280000,38 chỗ ngồi,20:00,20-05-2024,21-05-2024,05:25,9 giờ 25 phút,"Cổng Bến xe Miền Tây 395 Kinh Đ. Vương, An Lạc, Bình Tân, Thành phố Hồ Chí Minh 700000, Vietnam",Chợ Dục Mỹ 19 tháng 5,Nha Trang,58
Quang Hanh,400000,22 chỗ ngồi,20:15,20-05-2024,21-05-2024,04:25,8 giờ 10 phút,"Ngã Tư Bình Phước QL13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,59
Quang Hanh,400000,22 chỗ ngồi,20:15,20-05-2024,21-05-2024,04:25,8 giờ 10 phút,"Ngã Tư Bình Phước QL13, P. Hiệp Bình Phước, Q. Thủ Đức, Tp. Hồ Chí Minh","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,60
Khanh Phong,320000,32 chỗ ngồi,20:25,20-05-2024,21-05-2024,01:50,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,61
Khanh Phong,320000,32 chỗ ngồi,20:25,20-05-2024,21-05-2024,02:35,6 giờ 10 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Văn Phòng Nha Trang (KS Mường Thanh) Kiốt Số 2 Khách sạn Mường Thanh, Số 4, Đường Trần Phú, P.Xương Huân (Chân Cầu Trần Phú)",Nha Trang,62
Khanh Phong,480000,21 chỗ ngồi,20:30,20-05-2024,21-05-2024,01:55,5 giờ 25 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Bưu điện Cam Lâm QL 1, T.T Cam Đức",Nha Trang,63
Khanh Phong,480000,21 chỗ ngồi,20:30,20-05-2024,21-05-2024,02:40,6 giờ 10 phút,"Văn Phòng Phạm Ngũ Lão - Quận 1 Số 293 Phạm Ngũ Lão, P.Phạm Ngũ Lão","Văn Phòng Nha Trang (KS Mường Thanh) Kiốt Số 2 Khách sạn Mường Thanh, Số 4, Đường Trần Phú, P.Xương Huân (Chân Cầu Trần Phú)",Nha Trang,64
Cuc Tung,450000,21 chỗ ngồi,20:35,20-05-2024,21-05-2024,04:55,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang,65
Cuc Tung,450000,21 chỗ ngồi,21:00,20-05-2024,21-05-2024,05:20,8 giờ 20 phút,"Bến xe Miền Đông mới A Số 501, đường Hoàng Hữu Nam","Bến Xe Phía Nam Nha Trang Km số 6, đường 23/10, TP. Nha Trang, Khánh Hòa",Nha Trang,66
Huynh Gia,480000,21 chỗ ngồi,21:00,20-05-2024,21-05-2024,04:35,7 giờ 35 phút,VP Phạm Ngũ Lão 275H Phạm Ngũ Lão,"Vòng xoay Ninh Diêm Khanh Hoa Province, Ninh Hòa",Nha Trang,67
Phuc An Express,280000,38 chỗ ngồi,21:00,20-05-2024,21-05-2024,07:45,10 giờ 45 phút,VP HCM - Phúc An Express 215 Phạm Ngũ Lão,"Trạm Ninh Hòa 17 Trần Quý Cáp, Ngã 3 ngoài Ninh Hòa",Nha Trang,68
Phuong Nam,460000,22 chỗ ngồi,21:00,20-05-2024,21-05-2024,06:52,9 giờ 52 phút,Văn phòng Quận 1 B 275E Phạm Ngũ Lão,"Ngã 3 trong 658 Trần Quý Cáp, TT. Ninh Hòa, Ninh Hòa, Khánh Hòa",Nha Trang,69
Phuong Nam,460000,22 chỗ ngồi,21:00,20-05-2024,21-05-2024,07:02,10 giờ 2 phút,Văn phòng Quận 1 B 275E Phạm Ngũ Lão,Ngã 3 ngoài QL1 Ngã 3 ngoài,Nha Trang,70
